月份,城市名称,城市编码,门店名称,门店编码,开业日期,主营业务收入,净利润
2025-11,北京市,010,通州万象汇店,102295,2025-06-17,70892.39,-43242.56
2025-11,北京市,010,金地中心,102344,2026-01-11,,0.00
2025-11,南京市,025,华采天地店,102331,2025-09-30,119611.44,-8642.57
2025-11,广州市,020,IFC国金天地,102314,2025-06-15,202661.21,18957.63
2025-11,成都市,028,LACADIERE花园城,102313,2025-09-09,140300.46,25431.86
2025-11,成都市,028,in99银泰中心店,102296,2025-05-07,357205.78,69161.00
2025-11,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,75776.60,-10570.40
2025-11,成都市,028,双流万达店,102321,2025-07-31,157247.78,35651.94
2025-11,成都市,028,城南优品道店,102329,2025-09-17,148424.94,31060.02
2025-11,成都市,028,成都IFS购物中心,102320,2025-12-09,,-1953.84
2025-11,成都市,028,科华路王府井店,102063,2025-11-17,67833.57,-10731.63
2025-11,成都市,028,财富又一城店,102288,2025-04-25,177508.22,36964.24
2025-11,成都市,028,金楠天街店,102312,2025-06-17,66203.11,-6363.71
2025-11,杭州市,0571,亚奥万象天地店,102328,2025-09-26,160950.29,19554.97
2025-11,杭州市,0571,杭州大悦城,102339,2025-10-29,87300.00,-27314.88
2025-11,杭州市,0571,杭州龙湖滨江天街,102333,2025-09-30,118092.90,3505.10
2025-11,深圳市,0755,南山京基百纳,102307,2025-08-03,78096.50,-40236.49
2025-11,深圳市,0755,平安金融中心店,102301,2025-06-26,275882.12,54931.87
2025-11,深圳市,0755,深业上城店,102289,2025-05-03,335263.57,78624.14
2025-11,深圳市,0755,深圳大悦城店,102299,2025-09-06,157096.35,6856.80
2025-11,深圳市,0755,深圳太子湾K11,102257,2025-04-28,117492.61,1519.69
2025-11,深圳市,0755,深圳来福士店（新）,102332,2025-11-16,,0.00
2025-11,深圳市,0755,金地威新中心店,102298,2025-08-23,112880.20,-20078.36
2025-11,绵阳市,0816,四川常知乐健康科技有限公司,01,2025-11-26,,-55680.23
2025-11,绵阳市,0816,绵阳美学中心店,102316,2025-12-09,,0.00
2025-11,重庆市,023,重庆光环花园城,102330,2025-09-26,66400.50,4028.44
2025-11,重庆市,023,龙湖高新天街店,102292,2025-04-30,99823.23,6795.60
2025-12,上海市,021,上海CP静安店,102317,2025-08-17,28233.00,-35321.83
